timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1550740729509,200,-2048,-4.5E-4,0,0,0,522350,1455453,223209,98540,205904,110773,414743,403567,Tag0,unknown
1550740729525,200,1791,3.935302734375E-4,0,0,0,522350,1455453,223209,98540,205904,110773,414743,403567,Tag0,unknown
1550740729542,200,1791,3.935302734375E-4,0,0,0,522350,1455453,223209,98540,205904,110773,414743,403567,Tag0,unknown
1550740729559,200,-1996,-4.3857421875E-4,0,0,0,522350,1455453,223209,98540,205904,110773,414743,403567,Tag0,unknown
1550740729575,200,-2048,-4.5E-4,0,0,0,522350,1455453,223209,98540,205904,110773,414743,403567,Tag0,unknown
1550740729592,200,-2048,-4.5E-4,0,0,0,522350,1455453,223209,98540,205904,110773,414743,403567,Tag0,unknown
1550740729609,200,1791,3.935302734375E-4,0,0,0,522350,1455453,223209,98540,205904,110773,414743,403567,Tag0,unknown
1550740729626,200,-2170,-4.76806640625E-4,0,0,0,522350,1455453,223209,98540,205904,110773,414743,403567,Tag0,unknown
1550740729642,200,-2048,-4.5E-4,0,0,0,522350,1455453,223209,98540,205904,110773,414743,403567,Tag0,unknown
1550740729660,200,-1958,-4.30224609375E-4,0,0,0,522350,1455453,223209,98540,205904,110773,414743,403567,Tag0,unknown
1550740729676,200,-1980,-4.3505859375E-4,0,0,0,522350,1455453,223209,98540,205904,110773,414743,403567,Tag0,unknown
1550740729692,200,-2048,-4.5E-4,0,0,0,522350,1455453,223209,98540,205904,110773,414743,403567,Tag0,unknown
1550740729709,200,-2048,-4.5E-4,0,0,0,522350,1455453,223209,98540,205904,110773,414743,403567,Tag0,unknown
1550740729726,200,-2048,-4.5E-4,0,0,0,522350,1455453,223209,98540,205904,110773,414743,403567,Tag0,unknown
1550740729742,200,1791,3.935302734375E-4,0,0,0,522350,1455453,223209,98540,205904,110773,414743,403567,Tag0,unknown
1550740729766,200,-2173,-4.774658203125E-4,0,0,0,522350,1455453,223209,98540,205904,110773,414743,403567,Tag0,unknown
